152.67.99.162,443,AU,Oracle Public Cloud
152.69.169.24,443,AU,
152.69.174.99,25248,AU,Oracle Corporation
154.26.156.24,443,AU,
157.211.189.22,8443,AU,
158.180.5.171,443,AU,
16.176.191.203,443,AU,
16.176.42.97,443,AU,Amazon Corporate Services Pty Ltd
160.187.110.199,443,AU,
160.187.110.199,8443,AU,
160.22.78.191,443,AU,Onidel Pty Ltd
161.33.76.218,2053,AU,
161.33.76.218,8443,AU,
161.33.90.181,443,AU,
168.138.110.138,443,AU,
168.138.15.48,443,AU,
168.138.8.162,443,AU,
170.64.152.77,7443,AU,DigitalOcean LLC
170.64.163.39,443,AU,
170.64.170.226,443,AU,
170.64.175.13,443,AU,
170.64.197.150,443,AU,
170.64.227.71,443,AU,DigitalOcean LLC
170.64.228.130,443,AU,
170.64.229.30,443,AU,
170.64.232.210,443,AU,
170.64.237.192,443,AU,
170.64.245.159,443,AU,
172.105.161.46,443,AU,
172.105.168.231,2053,AU,
172.105.173.161,443,AU,
172.236.62.238,443,AU,
175.45.183.67,443,AU,Mammoth Media Pty Ltd
176.97.68.17,443,AU,
185.222.217.28,443,AU,
192.9.162.124,8443,AU,
192.9.175.224,443,AU,
192.9.180.162,443,AU,Oracle Corporation
192.9.183.128,45673,AU,Oracle Corporation
192.9.184.12,1010,AU,Oracle Corporation
192.9.184.12,1013,AU,Oracle Corporation
192.9.190.80,23862,AU,Oracle Corporation
194.195.248.186,443,AU,
194.195.248.195,443,AU,
194.195.252.133,443,AU,Akamai Connected Cloud  Linode
20.167.42.198,2053,AU,Microsoft Corporation
20.167.42.198,8443,AU,Microsoft Corporation
202.125.16.41,8443,AU,
206.168.133.137,443,AU,
207.148.80.190,443,AU,The Constant Company LLC
207.148.81.4,443,AU,
207.211.153.234,443,AU,Oracle Corporation
207.211.157.214,443,AU,
209.38.22.182,443,AU,
209.38.23.235,443,AU,
209.38.82.114,443,AU,
